number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_objective,params_subsample,params_tree_method,state
0,0.8684183314388602,0.0058038634843423425,0.5569324049840478,logloss,7.617209229607337,0.002262550297735513,3,4,binary:logistic,0.5248886063021186,gpu_hist,COMPLETE
1,0.8947982296245206,0.09520830369215495,0.3328884996347256,logloss,1.2281135705883655,0.049787296208062944,17,114,binary:logistic,0.4600233201108404,gpu_hist,COMPLETE
2,0.8930203821264252,1.1578142250425552,0.6136710645128629,logloss,1.2824590037761745,0.02884930796152281,9,231,binary:logistic,0.48847765345591876,gpu_hist,COMPLETE
3,0.8623639561543838,1.0054873611448887,0.92924966007111,logloss,0.01956844347837919,0.001398702361285494,3,34,binary:logistic,0.47474834551182143,gpu_hist,COMPLETE
4,0.890413843341129,0.0036957629235768448,0.5989884958137904,logloss,0.8145162507863811,0.006519027392036396,15,92,binary:logistic,0.43573282312210226,gpu_hist,COMPLETE
5,0.8925617397285611,1.1596369398072925,0.5446519534099776,logloss,0.24247237365107618,0.015959471239241168,7,74,binary:logistic,0.5880496416884058,gpu_hist,COMPLETE
6,0.8944697388990076,2.0241289872244805,0.4257482390881453,logloss,1.7201959864880485,0.029034448217752643,7,27,binary:logistic,0.5354980009595592,gpu_hist,COMPLETE
7,0.8894949380989455,0.017963783733001885,0.5501906668154859,logloss,4.7364608331367775,0.0038837858849314244,17,48,binary:logistic,0.5627826247026988,gpu_hist,COMPLETE
8,0.8779342886326292,0.005274920611663724,0.7414036752375125,logloss,0.002903187545686376,0.0012482028200206492,20,290,binary:logistic,0.6690174147865844,gpu_hist,COMPLETE
9,0.8886778105476045,0.078690325072271,0.9224763718268447,logloss,0.2136117692422527,0.009864097640744163,9,283,binary:logistic,0.5544488027663977,gpu_hist,COMPLETE
10,0.8948729476560583,0.11241891293479925,0.31233254786021947,logloss,0.030335992681581207,0.060090551202492015,13,146,binary:logistic,0.8767895128277109,gpu_hist,COMPLETE
11,0.894143549854203,0.15904559610652838,0.3209128827669461,logloss,0.023566570172336702,0.08948108914881599,13,147,binary:logistic,0.9151501550256765,gpu_hist,COMPLETE
12,0.8937926265446521,0.11764301214583815,0.3415574686557486,logloss,0.03312888661284741,0.08693891490825273,5,150,binary:logistic,0.8772629895260522,gpu_hist,COMPLETE
13,0.8949711423996606,7.932624069639853,0.4180970343685312,logloss,0.001976908542173425,0.03787513075167086,13,196,binary:logistic,0.8034403958985861,gpu_hist,COMPLETE
